Items_bought,fruit_points,vegetable_points,milk_points,rice_points
"mammeysapota,hortusgoldpapaya,rasthalibanana,kashmirapple,tomatolocal,greenchilli,carrot,redbellpepper,brownrice",17,22,0,7
"soursopcustardapple,guineagoldpapaya,kamiyapapaya,nendranbanana,kashmirapple,brownonion,tomatolocal,greenchilli,gaajar,yellowbellpepper,tonedmilk,basmatirice",25,33,9,3
"cowmilk,basmatirice",0,0,6,3
"hortusgoldpapaya,poovanbanana,nendranbanana,kashmirapple,brownonion,tomatolocal,redchilli,gaajar,yellowbellpepper,buffalomilk,basmatirice",14,33,7,3
basmatirice,0,0,0,3
"springonion,tomatolocal,tomatohybrid,greenchilli,gaajar,redbellpepper",0,39,0,0
"guineagoldpapaya,kamiyapapaya,rasthalibanana,nendranbanana,shimlaapple,kashmirapple",32,0,0,0
"redchilli,gaajar,redbellpepper,sonamasuririce,brownrice",0,16,0,10
"badmimango,mammeysapota,muskatpomogranates,soursopcustardapple,poovanbanana,nendranbanana,redonion,springonion,cherrietomato,redbellpepper,buffalomilk,sonamasuririce",26,24,7,3
"redonion,tomatolocal,greenchilli,gaajar,yellowbellpepper,buffalomilk,basmatirice",0,30,7,3
"greensapota,soursopcustardapple,kamiyapapaya,redonion,greenchilli,buffalomilk,sonamasuririce",13,5,7,3
"kashmirapple,capsicum,redbellpepper,yellowbellpepper,brocoli",6,21,0,0
"muskatpomogranates,custardapple,sweetsoursopcustardapple,hortusgoldpapaya,rasthalibanana,nendranbanana,redonion,springonion,tomatolocal,greenchilli,carrot,capsicum,yellowbellpepper,buffalomilk,basmatirice",18,38,7,3
"gigerinemelon,custardapple,rasthalibanana,brownonion,tomatohybrid,redchilli,cowmilk,brownrice",18,16,6,7
"gigerinemelon,custardapple,rasthalibanana,brownonion,tomatohybrid,redchilli,cowmilk,brownrice",18,16,6,7
"gigerinemelon,custardapple,rasthalibanana,brownonion,tomatohybrid,redchilli,cowmilk,brownrice",18,16,6,7
"gigerinemelon,custardapple,rasthalibanana,brownonion,tomatohybrid,redchilli,cowmilk,brownrice",18,16,6,7
"brocoli,tonedmilk",0,3,9,0
"dasherimango,dholkapomogranates,soursopcustardapple,hortusgoldpapaya,galaapple,redonion,springonion,tomatohybrid,redchilli,carrot,capsicum,yellowbellpepper,buffalomilk,sonamasuririce",17,38,7,3
"muskatpomogranates,rasthalibanana,galaapple,redonion,greenchilli,capsicum,brocoli,buffalomilk,sonamasuririce,brownrice",10,11,7,10
"muskatpomogranates,rasthalibanana,galaapple,redonion,greenchilli,capsicum,brocoli,buffalomilk,sonamasuririce,brownrice",10,11,7,10
"muskatpomogranates,rasthalibanana,galaapple,redonion,greenchilli,capsicum,brocoli,buffalomilk,sonamasuririce,brownrice",10,11,7,10
"muskatpomogranates,rasthalibanana,galaapple,redonion,greenchilli,capsicum,brocoli,buffalomilk,sonamasuririce,brownrice",10,11,7,10
"kesarmango,dholkapomogranates,nendranbanana,springonion,redchilli,yellowbellpepper,buffalomilk,basmatirice",11,18,7,3
"redonion,springonion,cherrietomato,carrot,capsicum,brocoli,buffalomilk,basmatirice",0,30,7,3
"citronmelon,rubypomogranates,hortusgoldpapaya,springonion,cherrietomato,redbellpepper,buffalomilk,sonamasuririce",14,21,7,3
"citronmelon,rubypomogranates,hortusgoldpapaya,springonion,cherrietomato,redbellpepper,buffalomilk,sonamasuririce",14,21,7,3
"citronmelon,rubypomogranates,hortusgoldpapaya,springonion,cherrietomato,redbellpepper,buffalomilk,sonamasuririce",14,21,7,3
"citronmelon,rubypomogranates,hortusgoldpapaya,springonion,cherrietomato,redbellpepper,buffalomilk,sonamasuririce",14,21,7,3
"badmimango,shimlaapple,sonamasuririce",17,0,0,3
"muskatpomogranates,custardapple,guineagoldpapaya,kamiyapapaya,rasthalibanana,nendranbanana,sonamasuririce",23,0,0,3
"rubypomogranates,soursopcustardapple,poovanbanana,tomatolocal,greenchilli,capsicum,cowmilk,sonamasuririce",22,13,6,3
"rubypomogranates,soursopcustardapple,poovanbanana,tomatolocal,greenchilli,capsicum,cowmilk,sonamasuririce",22,13,6,3
"rubypomogranates,soursopcustardapple,poovanbanana,tomatolocal,greenchilli,capsicum,cowmilk,sonamasuririce",22,13,6,3
"rubypomogranates,soursopcustardapple,poovanbanana,tomatolocal,greenchilli,capsicum,cowmilk,sonamasuririce",22,13,6,3
"hortusgoldpapaya,nendranbanana,brownonion,cherrietomato,capsicum,buffalomilk,sonamasuririce",3,17,7,3
"blacksapota,rubypomogranates,soursopcustardapple,hortusgoldpapaya,tomatolocal,carrot",26,14,0,0
"watermelon,sweetsoursopcustardapple,rasthalibanana,redonion,redchilli,capsicum,buffalomilk,sonamasuririce",15,8,7,3
"watermelon,sweetsoursopcustardapple,rasthalibanana,redonion,redchilli,capsicum,buffalomilk,sonamasuririce",15,8,7,3
"watermelon,sweetsoursopcustardapple,rasthalibanana,redonion,redchilli,capsicum,buffalomilk,sonamasuririce",15,8,7,3
"watermelon,sweetsoursopcustardapple,rasthalibanana,redonion,redchilli,capsicum,buffalomilk,sonamasuririce",15,8,7,3
"redonion,brownonion,tomatolocal,cherrietomato,redchilli,gaajar,redbellpepper,buffalomilk,basmatirice",0,41,7,3
"capsicum,redbellpepper,yellowbellpepper,brocoli",0,21,0,0
"greensapota,soursopcustardapple,rasthalibanana,galaapple,redonion,tomatohybrid,capsicum,buffalomilk,sonamasuririce,brownrice",20,14,7,10
"greensapota,soursopcustardapple,rasthalibanana,galaapple,redonion,tomatohybrid,capsicum,buffalomilk,sonamasuririce,brownrice",20,14,7,10
"greensapota,soursopcustardapple,rasthalibanana,galaapple,redonion,tomatohybrid,capsicum,buffalomilk,sonamasuririce,brownrice",20,14,7,10
"greensapota,soursopcustardapple,rasthalibanana,galaapple,redonion,tomatohybrid,capsicum,buffalomilk,sonamasuririce,brownrice",20,14,7,10
buffalomilk,0,0,7,0
"greensapota,soursopcustardapple,poovanbanana,springonion,tomatohybrid,redchilli,buffalomilk,sonamasuririce,brownrice",16,17,7,10
"greensapota,soursopcustardapple,poovanbanana,springonion,tomatohybrid,redchilli,buffalomilk,sonamasuririce,brownrice",16,17,7,10
"greensapota,soursopcustardapple,poovanbanana,springonion,tomatohybrid,redchilli,buffalomilk,sonamasuririce,brownrice",16,17,7,10
"greensapota,soursopcustardapple,poovanbanana,springonion,tomatohybrid,redchilli,buffalomilk,sonamasuririce,brownrice",16,17,7,10
basmatirice,0,0,0,3
"gigerinemelon,blacksapota,guineagoldpapaya,redonion,cherrietomato,gaajar,buffalomilk,basmatirice",22,19,7,3
"gigerinemelon,blacksapota,guineagoldpapaya,redonion,cherrietomato,gaajar,buffalomilk,basmatirice",22,19,7,3
"gigerinemelon,blacksapota,guineagoldpapaya,redonion,cherrietomato,gaajar,buffalomilk,basmatirice",22,19,7,3
"gigerinemelon,blacksapota,guineagoldpapaya,redonion,cherrietomato,gaajar,buffalomilk,basmatirice",22,19,7,3
"gigerinemelon,blacksapota,guineagoldpapaya,redonion,cherrietomato,gaajar,buffalomilk,basmatirice",22,19,7,3
"kamiyapapaya,nendranbanana,galaapple,springonion,cherrietomato,greenchilli,redchilli,carrot,redbellpepper,buffalomilk,sonamasuririce",5,31,7,3
"rubypomogranates,sweetsoursopcustardapple,poovanbanana,brownonion,gaajar,buffalomilk,basmatirice",17,14,7,3
"rubypomogranates,sweetsoursopcustardapple,poovanbanana,brownonion,gaajar,buffalomilk,basmatirice",17,14,7,3
"rubypomogranates,sweetsoursopcustardapple,poovanbanana,brownonion,gaajar,buffalomilk,basmatirice",17,14,7,3
"rubypomogranates,sweetsoursopcustardapple,poovanbanana,brownonion,gaajar,buffalomilk,basmatirice",17,14,7,3
"rubypomogranates,sweetsoursopcustardapple,poovanbanana,brownonion,gaajar,buffalomilk,basmatirice",17,14,7,3
"blacksapota,rubypomogranates,soursopcustardapple,kamiyapapaya,kashmirapple,sonamasuririce",32,0,0,3
"redonion,redchilli,capsicum",0,8,0,0
"citronmelon,soursopcustardapple,guineagoldpapaya,shimlaapple,brownonion,tomatohybrid,carrot,capsicum,cowmilk,basmatirice",27,23,6,3
"citronmelon,soursopcustardapple,guineagoldpapaya,shimlaapple,brownonion,tomatohybrid,carrot,capsicum,cowmilk,basmatirice",27,23,6,3
"citronmelon,soursopcustardapple,guineagoldpapaya,shimlaapple,brownonion,tomatohybrid,carrot,capsicum,cowmilk,basmatirice",27,23,6,3
"citronmelon,soursopcustardapple,guineagoldpapaya,shimlaapple,brownonion,tomatohybrid,carrot,capsicum,cowmilk,basmatirice",27,23,6,3
"citronmelon,soursopcustardapple,guineagoldpapaya,shimlaapple,brownonion,tomatohybrid,carrot,capsicum,cowmilk,basmatirice",27,23,6,3
"brownonion,cherrietomato,brownrice",0,14,0,7
"blacksapota,muskatpomogranates,guineagoldpapaya,poovanbanana,springonion,greenchilli,cowmilk,basmatirice",21,9,6,3
"blacksapota,muskatpomogranates,guineagoldpapaya,poovanbanana,springonion,greenchilli,cowmilk,basmatirice",21,9,6,3
"blacksapota,muskatpomogranates,guineagoldpapaya,poovanbanana,springonion,greenchilli,cowmilk,basmatirice",21,9,6,3
"blacksapota,muskatpomogranates,guineagoldpapaya,poovanbanana,springonion,greenchilli,cowmilk,basmatirice",21,9,6,3
"blacksapota,muskatpomogranates,guineagoldpapaya,poovanbanana,springonion,greenchilli,cowmilk,basmatirice",21,9,6,3
"watermelon,mammeysapota,rubypomogranates,hortusgoldpapaya,nendranbanana,brownonion,cherrietomato,gaajar,brocoli,buffalomilk,sonamasuririce",19,25,7,3
"blacksapota,muskatpomogranates,guineagoldpapaya,redonion,tomatohybrid,gaajar,buffalomilk,brownrice",16,19,7,7
"greensapota,custardapple,guineagoldpapaya,rasthalibanana,shimlaapple,redonion,springonion,cherrietomato,redchilli,gaajar,brocoli",30,31,0,0
"greensapota,guineagoldpapaya,poovanbanana,basmatirice,brownrice",16,0,0,10
"gigerinemelon,greensapota,custardapple,rasthalibanana,springonion,greenchilli,redchilli,gaajar,capsicum,buffalomilk,sonamasuririce",21,22,7,3
"redonion,brownonion,springonion,tomatohybrid,greenchilli,gaajar,yellowbellpepper,buffalomilk,basmatirice",0,43,7,3
"soursopcustardapple,guineagoldpapaya,hortusgoldpapaya,shimlaapple,kashmirapple,springonion,tomatolocal,cherrietomato,carrot,redbellpepper,cowmilk,brownrice",32,35,6,7
"poovanbanana,shimlaapple,galaapple,springonion,greenchilli,carrot,redbellpepper,tonedmilk,sonamasuririce,brownrice",15,21,9,10
"watermelon,dholkapomogranates,redonion,redchilli,buffalomilk,sonamasuririce",6,5,7,3
"blacksapota,guineagoldpapaya,redbellpepper,yellowbellpepper,buffalomilk,brownrice",15,15,7,7
"blacksapota,guineagoldpapaya,redbellpepper,yellowbellpepper,buffalomilk,brownrice",15,15,7,7
"dholkapomogranates,soursopcustardapple,rasthalibanana,tomatolocal,cherrietomato,buffalomilk,basmatirice",16,16,7,3
"dholkapomogranates,soursopcustardapple,rasthalibanana,tomatolocal,cherrietomato,buffalomilk,basmatirice",16,16,7,3
"gigerinemelon,dholkapomogranates,guineagoldpapaya,brownonion,cherrietomato,redchilli,yellowbellpepper,buffalomilk,basmatirice",16,25,7,3
"gigerinemelon,dholkapomogranates,guineagoldpapaya,brownonion,cherrietomato,redchilli,yellowbellpepper,buffalomilk,basmatirice",16,25,7,3
"mammeysapota,muskatpomogranates,sweetsoursopcustardapple,redonion,carrot,buffalomilk,brownrice",6,9,7,7
"mammeysapota,muskatpomogranates,sweetsoursopcustardapple,redonion,carrot,buffalomilk,brownrice",6,9,7,7
"poovanbanana,nendranbanana,redonion,tomatolocal,greenchilli,capsicum,brocoli,sonamasuririce,basmatirice,brownrice",6,19,0,13
"citronmelon,muskatpomogranates,soursopcustardapple,sweetsoursopcustardapple,poovanbanana,shimlaapple,redonion,springonion,tomatohybrid,greenchilli,carrot,capsicum,yellowbellpepper,cowmilk",28,38,6,0
"watermelon,greensapota,soursopcustardapple,kamiyapapaya,greenchilli,buffalomilk,basmatirice",18,2,7,3
"watermelon,greensapota,soursopcustardapple,kamiyapapaya,greenchilli,buffalomilk,basmatirice",18,2,7,3
"badmimango,galaapple,cowmilk,basmatirice",11,0,6,3
"brownonion,carrot,gaajar,sonamasuririce",0,20,0,3
"brownonion,carrot,gaajar,sonamasuririce",0,20,0,3
"soursopcustardapple,buffalomilk,basmatirice",8,0,7,3
"soursopcustardapple,buffalomilk,basmatirice",8,0,7,3
"poovanbanana,shimlaapple,cowmilk,tonedmilk,basmatirice",13,0,15,3
"poovanbanana,shimlaapple,cowmilk,tonedmilk,basmatirice",13,0,15,3
"redonion,tomatolocal,tomatohybrid,carrot,brocoli,sonamasuririce",0,28,0,3
"redonion,tomatolocal,cherrietomato,carrot,redbellpepper",0,31,0,0
"rubypomogranates,custardapple,redonion,tomatolocal,buffalomilk",13,11,7,0
"rubypomogranates,custardapple,redonion,tomatolocal,buffalomilk",13,11,7,0
"kamiyapapaya,shimlaapple,greenchilli,carrot,tonedmilk,brownrice",10,8,9,7
"kamiyapapaya,shimlaapple,greenchilli,carrot,tonedmilk,brownrice",10,8,9,7
"mammeysapota,dholkapomogranates,custardapple,sonamasuririce",7,0,0,3
"mammeysapota,dholkapomogranates,custardapple,sonamasuririce",7,0,0,3
"rasthalibanana,nendranbanana,brownonion,basmatirice",8,6,0,3
"rasthalibanana,nendranbanana,brownonion,basmatirice",8,6,0,3
"muskatpomogranates,sweetsoursopcustardapple,hortusgoldpapaya,poovanbanana,nendranbanana,kashmirapple,redonion,tomatolocal,greenchilli,redbellpepper",18,19,0,0
"muskatpomogranates,sweetsoursopcustardapple,hortusgoldpapaya,poovanbanana,nendranbanana,kashmirapple,redonion,tomatolocal,greenchilli,redbellpepper",18,19,0,0
"gigerinemelon,blacksapota,rubypomogranates,custardapple,guineagoldpapaya,nendranbanana,galaapple,springonion",38,7,0,0
"redonion,springonion,tomatohybrid,greenchilli,carrot,capsicum,yellowbellpepper,brocoli",0,41,0,0
"muskatpomogranates,hortusgoldpapaya,poovanbanana,nendranbanana,carrot,capsicum,yellowbellpepper,buffalomilk,basmatirice",9,18,7,3
"redonion,brownonion,tomatolocal,cherrietomato,basmatirice",0,25,0,3
"dholkapomogranates,rubypomogranates,sweetsoursopcustardapple,tomatohybrid,greenchilli,carrot,cowmilk,sonamasuririce",13,16,6,3
"gigerinemelon,greensapota,muskatpomogranates,soursopcustardapple,guineagoldpapaya,poovanbanana,rasthalibanana,kashmirapple,redonion,springonion,tomatohybrid,redchilli,gaajar,capsicum,yellowbellpepper,cowmilk,sonamasuririce",45,40,6,3
"guineagoldpapaya,kamiyapapaya,rasthalibanana,nendranbanana,shimlaapple,galaapple,brownonion,cherrietomato,redchilli,gaajar,buffalomilk,basmatirice",28,24,7,3
"custardapple,poovanbanana,shimlaapple,tomatolocal,cherrietomato,redbellpepper,cowmilk,tonedmilk,basmatirice",17,22,15,3
"greensapota,rubypomogranates,custardapple,guineagoldpapaya,poovanbanana,nendranbanana,galaapple,greenchilli,carrot,redbellpepper,brocoli,buffalomilk,brownrice",32,17,7,7
"muskatpomogranates,custardapple,sweetsoursopcustardapple,hortusgoldpapaya,rasthalibanana,shimlaapple,galaapple,redonion,springonion,tomatohybrid,greenchilli,brocoli,buffalomilk",27,23,7,0
"redonion,springonion,cherrietomato,carrot,gaajar,redbellpepper,yellowbellpepper,brocoli",0,50,0,0
"gigerinemelon,blacksapota,dholkapomogranates,custardapple,sweetsoursopcustardapple,poovanbanana,nendranbanana,galaapple,brownonion,springonion,tomatohybrid,greenchilli,carrot,yellowbellpepper",30,38,0,0
"citronmelon,muskatpomogranates,guineagoldpapaya,kashmirapple,springonion,redchilli,carrot,buffalomilk,sonamasuririce",18,15,7,3
"brownonion,cherrietomato,redchilli,capsicum,redbellpepper,brocoli,buffalomilk,basmatirice",0,28,7,3
"watermelon,gigerinemelon,blacksapota,rubypomogranates,hortusgoldpapaya,poovanbanana,rasthalibanana,shimlaapple,brownonion,tomatolocal,greenchilli,carrot,capsicum,brocoli,buffalomilk,basmatirice",50,28,7,3
"blacksapota,rubypomogranates,soursopcustardapple,redchilli,buffalomilk,basmatirice",24,2,7,3
"watermelon,greensapota,rubypomogranates,custardapple,sweetsoursopcustardapple,rasthalibanana,brownonion,cherrietomato,redchilli,carrot,capsicum,brocoli,cowmilk,sonamasuririce",31,28,6,3
"citronmelon,blacksapota,muskatpomogranates,sweetsoursopcustardapple,poovanbanana,kashmirapple,redonion,springonion,cherrietomato,sonamasuririce",25,18,0,3
"sweetsoursopcustardapple,poovanbanana,nendranbanana,kashmirapple,tomatohybrid,greenchilli,carrot,capsicum,cowmilk,buffalomilk,basmatirice",15,19,13,3
"soursopcustardapple,guineagoldpapaya,poovanbanana,nendranbanana,kashmirapple,redonion,brownonion,springonion,tomatohybrid,cherrietomato,redchilli,carrot",28,40,0,0
"gigerinemelon,greensapota,soursopcustardapple,redonion,carrot,cowmilk,basmatirice",18,9,6,3
"redonion,springonion,tomatohybrid,redchilli,gaajar,capsicum,yellowbellpepper,tonedmilk,basmatirice,brownrice",0,40,9,10
"mammeysapota,greensapota,dholkapomogranates,muskatpomogranates,kamiyapapaya,poovanbanana,rasthalibanana,kashmirapple,galaapple,tomatohybrid,cherrietomato,redchilli,capsicum,redbellpepper,brocoli",29,30,0,0
"kesarmango,badmimango,gigerinemelon,greensapota,poovanbanana,rasthalibanana,galaapple,brocoli",42,3,0,0
"kesarmango,watermelon,citronmelon,gigerinemelon,dholkapomogranates,brownonion,tomatolocal,cherrietomato,carrot,yellowbellpepper,buffalomilk,basmatirice",25,37,7,3
"badmimango,mammeysapota,galaapple,tomatohybrid,redchilli,gaajar,yellowbellpepper,cowmilk,buffalomilk",13,27,13,0
"dasherimango,badmimango,gigerinemelon,dholkapomogranates,rubypomogranates,sweetsoursopcustardapple,kamiyapapaya,kashmirapple,brownonion,cherrietomato,redbellpepper,buffalomilk,basmatirice",41,20,7,3
"dasherimango,watermelon,rubypomogranates,custardapple,shimlaapple,kashmirapple,redonion,springonion,tomatolocal,cherrietomato,greenchilli,redchilli,carrot,capsicum,redbellpepper,yellowbellpepper,brocoli,buffalomilk,sonamasuririce",36,57,7,3
"dasherimango,kesarmango,watermelon,gigerinemelon,rubypomogranates,custardapple,shimlaapple,kashmirapple,redonion,springonion,tomatolocal,greenchilli,redchilli,carrot,capsicum,brocoli,buffalomilk,brownrice",52,34,7,7
"watermelon,mammeysapota,custardapple,guineagoldpapaya,poovanbanana,shimlaapple,brownonion,tomatolocal,cherrietomato,greenchilli,redchilli,carrot,gaajar,tonedmilk,sonamasuririce",32,40,9,3
"dasherimango,kesarmango,watermelon,gigerinemelon,rubypomogranates,custardapple,soursopcustardapple,rasthalibanana,shimlaapple,kashmirapple,redonion,springonion,tomatolocal,cherrietomato,greenchilli,redchilli,carrot,capsicum,redbellpepper,brocoli,buffalomilk",67,48,7,0
"dasherimango,kesarmango,badmimango,watermelon,mammeysapota,dholkapomogranates,sweetsoursopcustardapple,guineagoldpapaya,shimlaapple,brownonion,tomatolocal,greenchilli,redchilli,carrot,gaajar,capsicum,tonedmilk,sonamasuririce",49,35,9,3
"dasherimango,badmimango,citronmelon,greensapota,muskatpomogranates,sweetsoursopcustardapple,kamiyapapaya,kashmirapple,brownonion,tomatolocal,cherrietomato,gaajar,redbellpepper",31,36,0,0
"cowmilk,buffalomilk",0,0,13,0
"kesarmango,watermelon,mammeysapota,rubypomogranates,kamiyapapaya,rasthalibanana,galaapple",36,0,0,0
"dasherimango,watermelon,citronmelon,blacksapota,dholkapomogranates,guineagoldpapaya,nendranbanana,shimlaapple,redonion,springonion,tomatohybrid,greenchilli,gaajar,yellowbellpepper,cowmilk,buffalomilk,basmatirice,brownrice",37,37,13,10
"kesarmango,watermelon,guineagoldpapaya,poovanbanana",27,0,0,0
"dasherimango,badmimango,mammeysapota,poovanbanana",20,0,0,0
"muskatpomogranates,soursopcustardapple,hortusgoldpapaya,kashmirapple,redonion,springonion,tomatohybrid,redchilli,brocoli,tonedmilk,brownrice",17,23,9,7
"rubypomogranates,custardapple,poovanbanana,galaapple,brownonion,springonion,cherrietomato,redchilli,capsicum,redbellpepper",20,32,0,0
"dasherimango,badmimango,gigerinemelon,dholkapomogranates,rubypomogranates",30,0,0,0
"watermelon,blacksapota,custardapple,kamiyapapaya,rasthalibanana,kashmirapple,redonion,tomatolocal,greenchilli,redchilli,carrot,capsicum,brocoli,cowmilk,brownrice",31,27,6,7
"badmimango,custardapple,hortusgoldpapaya,galaapple,cherrietomato,carrot,brocoli,tonedmilk",17,17,9,0
"citronmelon,rubypomogranates,guineagoldpapaya,brownonion,carrot,brocoli,cowmilk,basmatirice",20,15,6,3
"watermelon,greensapota,poovanbanana,galaapple,cherrietomato,greenchilli,redchilli,carrot,yellowbellpepper,cowmilk,basmatirice",15,27,6,3
"kesarmango,watermelon,blacksapota,tonedmilk",21,0,9,0
buffalomilk,0,0,7,0
"dholkapomogranates,muskatpomogranates,hortusgoldpapaya,nendranbanana,galaapple,brownonion,tomatolocal,greenchilli,capsicum",7,19,0,0
"kesarmango,watermelon,mammeysapota,shimlaapple,brownonion,tomatolocal,cherrietomato,redchilli,redbellpepper",24,30,0,0
"kesarmango,citronmelon,dholkapomogranates",13,0,0,0
"kesarmango,mammeysapota,muskatpomogranates,guineagoldpapaya,rasthalibanana,springonion,cherrietomato,redchilli,redbellpepper",27,23,0,0
"kesarmango,citronmelon,greensapota,poovanbanana",20,0,0,0
"watermelon,guineagoldpapaya,poovanbanana,redonion,tomatolocal,greenchilli,redchilli,cowmilk,basmatirice",18,15,6,3
"badmimango,citronmelon,custardapple,springonion,cherrietomato,greenchilli,carrot,redbellpepper,brocoli,tonedmilk,brownrice",16,32,9,7
"blacksapota,dholkapomogranates,kamiyapapaya,shimlaapple,redonion,tomatolocal,greenchilli,redchilli,redbellpepper,yellowbellpepper,brocoli,cowmilk,sonamasuririce,basmatirice",18,33,6,6
"dasherimango,kesarmango,badmimango",22,0,0,0
"dasherimango,badmimango,blacksapota,muskatpomogranates,kamiyapapaya,shimlaapple,brownrice",31,0,0,7
"citronmelon,greensapota,muskatpomogranates,sweetsoursopcustardapple",10,0,0,0
"redonion,greenchilli,cowmilk,sonamasuririce",0,5,6,3
"blacksapota,custardapple,poovanbanana,kashmirapple,redonion,springonion,tomatolocal,cherrietomato,greenchilli,gaajar,yellowbellpepper",22,45,0,0
"dasherimango,badmimango,gigerinemelon,blacksapota,dholkapomogranates,soursopcustardapple,poovanbanana,brownonion,tomatolocal,redchilli,redbellpepper,basmatirice",41,22,0,3
"badmimango,citronmelon,brownonion,tomatolocal,carrot,capsicum,buffalomilk,sonamasuririce",12,23,7,3
"kesarmango,brownonion,greenchilli,carrot,redbellpepper,brocoli,tonedmilk",9,23,9,0
"kesarmango,watermelon,rubypomogranates,custardapple,brownonion,tomatolocal,redchilli,brocoli,cowmilk,sonamasuririce",27,19,6,3
"redonion,tomatolocal,cherrietomato,redchilli,gaajar",0,29,0,0
"dasherimango,citronmelon,blacksapota,muskatpomogranates,sweetsoursopcustardapple,rasthalibanana,kashmirapple,springonion,redbellpepper",31,13,0,0
"watermelon,mammeysapota,rubypomogranates,kamiyapapaya,galaapple,redonion,springonion,tomatohybrid,greenchilli,carrot,capsicum,tonedmilk,sonamasuririce",20,29,9,3
"muskatpomogranates,poovanbanana,kashmirapple,brownonion,tomatolocal,cherrietomato,carrot,capsicum,yellowbellpepper",12,40,0,0
"kesarmango,watermelon,gigerinemelon,greensapota,soursopcustardapple,kamiyapapaya,kashmirapple,brownonion,tomatolocal,cherrietomato,carrot,redbellpepper,brocoli",40,37,0,0
"dasherimango,badmimango,citronmelon,gigerinemelon,greensapota,dholkapomogranates,rubypomogranates,muskatpomogranates,custardapple,kamiyapapaya,poovanbanana,rasthalibanana,shimlaapple,redonion,brownonion,tomatolocal,greenchilli,redchilli,carrot,capsicum,brocoli,cowmilk,tonedmilk,basmatirice,brownrice",63,33,15,10
"kesarmango,mammeysapota,muskatpomogranates,kashmirapple,brownonion,tomatohybrid,greenchilli,gaajar,capsicum,cowmilk,tonedmilk,sonamasuririce",18,27,15,3
"badmimango,mammeysapota,dholkapomogranates,redonion,springonion,tomatohybrid,greenchilli,carrot,redbellpepper,brocoli",12,35,0,0
